"candidate_id","rank","score","reasoning"
"CAND_0046064","1","0.96801","Senior NLP Engineer (8.9yr) at Salesforce, Coimbatore. JD-aligned: Pinecone, BM25, OpenSearch. Production evidence: LoRA and QLoRA for domain-specific candidate-JD m. 78% response rate; GitHub 67/100. Worth noting: 3 CV/robotics/speech skills — potential domain mismatch."
"CAND_0081846","2","0.96784","Lead AI Engineer (6.7yr) at Razorpay, Jaipur. JD-aligned: Information Retrieval, Learning to Rank, Elasticsearch. Production evidence: 50M+ queries. 73% response rate; ≤30d notice; open-to-work."
"CAND_0008425","3","0.96649","Senior NLP Engineer (7.8yr) at Ola, Kolkata. JD-aligned: Learning to Rank, Qdrant, Sentence Transformers. Production evidence: sentence-transformer. GitHub 53/100; open-to-work. Worth noting: 2 CV/robotics/speech skills — potential domain mismatch."
"CAND_0002025","4","0.96615","Senior AI Engineer (5.9yr) at Apple, Trivandrum. JD-aligned: FAISS, OpenSearch, Weaviate. Production evidence: sentence-transformer. active within 21d; 80% response rate; GitHub 97/100."
"CAND_0005260","5","0.96601","Senior NLP Engineer (5.2yr) at Netflix, Chennai. JD-aligned: Information Retrieval, Semantic Search, LoRA. Production evidence: LoRA and QLoRA for domain-specific candidate-JD m. 86% response rate; product company pedigree. Worth noting: no GitHub linked."
"CAND_0088025","6","0.96596","Staff Machine Learning Engineer (8.6yr) at Yellow.ai, Jaipur. JD-aligned: Pinecone, QLoRA, RAG. Production evidence: Pinecone. 83% response rate; GitHub 75/100; open-to-work."
"CAND_0018499","7","0.96564","Senior Machine Learning Engineer (7.2yr) at Zomato, Noida. JD-aligned: Weaviate, Pinecone, Information Retrieval. Production evidence: 50M+ queries. GitHub 95/100; 15d notice; open-to-work."
"CAND_0077337","8","0.96409","Staff Machine Learning Engineer (7.0yr) at Paytm, Kochi. JD-aligned: Semantic Search, QLoRA, Pinecone. Production evidence: sentence-transformer. active within 21d; 95% response rate; GitHub 68/100."
"CAND_0071974","9","0.96398","Senior AI Engineer (7.8yr) at Netflix, Vizag. JD-aligned: LoRA, Learning to Rank, Weaviate. Production evidence: Pinecone. 76% response rate; GitHub 83/100. Worth noting: 2 CV/robotics/speech skills — potential domain mismatch."
"CAND_0086022","10","0.96188","Senior Applied Scientist (5.3yr) at Sarvam AI, Kolkata. JD-aligned: Fine-tuning LLMs, Elasticsearch, QLoRA. Production evidence: 50M+ queries. GitHub 75/100; open-to-work; product company pedigree."
